"cluster_id" "cluster_description" "snomed_code" "snomed_code_description" "pcd_refset_id" "service_and_ruleset" "med_code_id" "observations" "original_read_code" "cleansed_read_code" "term" "snomed_ct_description_id" "release" "emis_code_category_id" "include" "comments" "category"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "718087004" "QRISK2 cardiovascular disease 10 year risk score (observable entity)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "1126121000000112" 20000000 "38DP" "38DP.00" "QRISK2 cardiovascular disease 10 year risk score" "3311118014" NA "3" NA NA "CVD risk assessment"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "763244005" "QRISK cardiovascular disease 10 year risk calculator score (observable entity)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "664421000000119" 7000000 "38DF" "38DF.00" "QRISK cardiovascular disease 10 year risk calculator score" "3638272018" NA "3" NA NA "CVD risk assessment"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "450759008" "Framingham coronary heart disease 10 year risk score (observable entity)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "459504017" 3000000 "3888" "3888.00" "Framingham coronary heart disease 10 year risk score" "2916764016" NA "3" NA NA "CVD risk assessment"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "450759008" "Framingham coronary heart disease 10 year risk score (observable entity)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "1130941000000119" 1000000 "38DR" "38DR.00" "Framingham 1991 cardiovascular disease 10 year risk score" "2916764016" NA "3" NA NA "CVD risk assessment"
"additional" NA "166711000000108" NA NA NA "977771000006119" 800000 "662k" "662k.00" "Joint British Societies cardiovascular disease risk less than ten percent over next ten years" "226781000000114" NA "1" "y" NA "CVD risk assessment"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "990301000000105" "Cardiovascular disease risk assessment done (situation)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "737691000000110" 600000 "9OhA" "9OhA.00" "Cardiovascular disease risk assessment done" "2516621000000117" NA "37" NA NA "CVD risk assessment"
"additional" NA "166721000000102" NA NA NA "977781000006116" 600000 "662l" "662l.00" "Joint British Societies cardiovascular disease risk ten percent to twenty percent over next ten years" "226791000000111" NA "1" "y" NA "CVD risk assessment"
"additional" NA "1566001000006105" NA NA NA "1566001000006114" 600000 "EMISNQFR8" NA "Framingham cardiovascular disease estimated 10 year risk score" "1566001000006114" NA "3" "y" NA "CVD risk assessment"
"additional" NA "433091000006109" NA NA NA "433091000006113" 500000 "EMISFR3" NA "10 yr CHD risk (Framingham)" "433091000006113" NA "1" "y" NA "CVD risk assessment"
"CVDRISKASS_COD" "Cardiovascular disease (CVD) risk assessment done" "166731000000100" "Joint British Societies cardiovascular disease risk greater than twenty percent up to thirty percent over next ten years (finding)" "999016811000230106" "PLE CVDPREVENT | PLE GDPPR" "977791000006118" 400000 "662m" "662m.00" "Joint British Societies cardiovascular disease risk greater than twenty percent up to thirty percent over next ten years" "236501000000114" NA "1" NA NA "CVD risk assessment"
