cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
SLUPUS_COD "Systemic lupus codes" 55464009 "Systemic lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 92208011 200000 N000 N000.00 "Systemic lupus erythematosus" 92208011 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 200936003 "Lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 308697013 30000 M154 M154.00 "Lupus erythematosus" 308697013 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 68815009 "Systemic lupus erythematosus glomerulonephritis syndrome (disorder)" 999023011000230103 "PLE C19SPL" 114310015 10000 K01x4-1 K01x411 "Lupus nephritis" 114310015 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 55464009 "Systemic lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 309408013 8000 N000z N000z00 "Systemic lupus erythematosus NOS" 92208011 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 200936003 "Lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 308709013 2000 M154z M154z00 "Lupus erythematosus NOS" 308697013 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 239887007 "Systemic lupus erythematosus with organ/system involvement (disorder)" 999023011000230103 "PLE C19SPL" 114251000006118 1000 N0003 N000300 "Systemic lupus erythematosus with organ/system involvement" 359443016 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 55464009 "Systemic lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 92209015 1000 N0000 N000000 "Disseminated lupus erythematosus" 92209015 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 68815009 "Systemic lupus erythematosus glomerulonephritis syndrome (disorder)" 999023011000230103 "PLE C19SPL" 677561000006119 800 K01x4 K01x400 "Nephrotic syndrome in systemic lupus erythematosus" 114310015 NA 32 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 201436003 "Drug-induced systemic lupus erythematosus (disorder)" 999023011000230103 "PLE C19SPL" 309405011 600 N0002 N000200 "Drug-induced systemic lupus erythematosus" 309405011 NA 5 NA NA SLE
SLUPUS_COD "Systemic lupus codes" 95644001 "Systemic lupus erythematosus encephalitis (disorder)" 999023011000230103 "PLE C19SPL" 512234017 500 N0006 N000600 "Cerebral lupus" 512234017 NA 32 NA NA SLE
