cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
AFIB_COD "Atrial fibrillation codes" 49436004 "Atrial fibrillation (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 82343012 6000000 G5730 G573000 "Atrial fibrillation" 82343012 NA 32 NA NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 282825002 "Paroxysmal atrial fibrillation (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 421235014 1000000 G5732 G573200 "Paroxysmal atrial fibrillation" 421235014 NA 32 NA NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 195080001 "Atrial fibrillation and flutter (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 300130013 700000 G573 G573.00 "Atrial fibrillation and flutter" 300130013 NA 32 NA NA "Atrial fibrillation"
additional NA 164889003 NA NA NA 256478018 500000 3272 3272 "ECG: atrial fibrillation" 256478018 NA 3 y NA "Atrial fibrillation"
additional NA 248411000000105 NA NA NA 406861000000119 400000 6A9 6A9..00 "Atrial fibrillation annual review" 406861000000119 NA 1 y NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 5370000 "Atrial flutter (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 9988012 300000 G5731 G573100 "Atrial flutter" 9988012 NA 32 NA NA "Atrial fibrillation"
additional NA 717221000000101 NA NA NA 408081000000116 200000 9Os0 9Os0.00 "Atrial fibrillation monitoring first letter" 1569761000000112 NA 37 y NA "Atrial fibrillation"
AFIBRES_COD "Atrial fibrillation resolved codes" 196371000000102 "Atrial fibrillation resolved (finding)" 999007971000230109 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 294601000000110 100000 212R 212R.00 "Atrial fibrillation resolved" 294601000000110 NA 27 NA NA "Atrial fibrillation resolved"
additional NA 134377004 NA NA NA 216183015 100000 662S 662S.00 "Atrial fibrillation monitoring" 216183015 NA 1 y NA "Atrial fibrillation"
additional NA 312442005 NA NA NA 456154015 100000 14AN 14AN.00 "H/O: atrial fibrillation" 456154015 NA 32 y NA "Atrial fibrillation"
additional NA 716981000000106 NA NA NA 408101000000110 90000 9Os1 9Os1.00 "Atrial fibrillation monitoring second letter" 1569531000000111 NA 37 y NA "Atrial fibrillation"
additional NA 164890007 NA NA NA 256479014 40000 3273 3273 "ECG: atrial flutter" 256479014 NA 3 y NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 195080001 "Atrial fibrillation and flutter (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 300132017 30000 G573z G573z00 "Atrial fibrillation and flutter NOS" 300130013 NA 32 NA NA "Atrial fibrillation"
additional NA 713801000000102 NA NA NA 406251000000118 30000 9Os 9Os..00 "Atrial fibrillation monitoring administration" 1565041000000112 NA 37 y NA "Atrial fibrillation"
additional NA 716181000000109 NA NA NA 408121000000118 10000 9Os2 9Os2.00 "Atrial fibrillation monitoring third letter" 1568741000000115 NA 37 y NA "Atrial fibrillation"
additional NA 711411000000101 NA NA NA 8214691000006119 10000 ^ESCTAT821469 NA "Atrial fibrillation monitoring invitation" 1555841000000110 NA 37 y NA "Atrial fibrillation"
additional NA 1110851000000100 NA NA NA 12626271000006110 9000 ^ESCT1262627 NA "QOF (Quality and Outcomes Framework) atrial fibrillation quality indicator-related care invitation" 2779681000000117 NA 37 y NA "Atrial fibrillation"
additional NA 707832008 NA NA NA 1587611000006119 8000 793M1 793M100 "Percutaneous transluminal ablation of atrial wall for atrial flutter" 3032484016 NA 32 y NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 427665004 "Paroxysmal atrial flutter (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 2675306013 7000 G5736 G573600 "Paroxysmal atrial flutter" 2675306013 NA 32 NA NA "Atrial fibrillation"
AFIB_COD "Atrial fibrillation codes" 440059007 "Persistent atrial fibrillation (disorder)" 999010611000230105 "INLIQ Atrial fibrillation | NCD Cardiovascular Disease Prevention | NCD Personalised Care | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | QOF Atrial fibrillation" 636701000000115 7000 G5735 G573500 "Persistent atrial fibrillation" 2793372019 NA 32 NA NA "Atrial fibrillation"
