cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
CHD_COD "Coronary heart disease (CHD) codes" 414545008 "Ischemic heart disease (disorder)" 999000771000230107 "CC Core GP Contract | INLIQ CHD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | PLE NDA | QOF CHD | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking" 2534664018 6000000 G3 G3...00 "Ischaemic heart disease" 2534664018 NA 32 NA NA CHD
CHD_COD "Coronary heart disease (CHD) codes" 194828000 "Angina (disorder)" 999000771000230107 "CC Core GP Contract | INLIQ CHD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | PLE NDA | QOF CHD | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking" 299757012 3000000 G33 G33..00 "Angina pectoris" 299757012 NA 32 NA NA CHD
NA NA 315614006 NA NA NA 460133017 3000000 6A2 6A2..00 "Coronary heart disease annual review" 460133017 NA 1 y NA CHD
CHD_COD "Coronary heart disease (CHD) codes" 57054005 "Acute myocardial infarction (disorder)" 999000771000230107 "CC Core GP Contract | INLIQ CHD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | PLE NDA | QOF CHD | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking" 94884017 2000000 G30 G30..00 "Acute myocardial infarction" 94884017 NA 32 NA NA CHD
NA NA 170601008 NA NA NA 264500012 2000000 662N 662N.00 "CHD monitoring" 264500012 NA 1 y NA CHD
NA NA 401250009 NA NA NA 1780444014 2000000 9Ob3 9Ob3.00 "Coronary heart disease monitoring 1st letter" 1780444014 NA 37 y NA CHD
CHD_COD "Coronary heart disease (CHD) codes" 414545008 "Ischemic heart disease (disorder)" 999000771000230107 "CC Core GP Contract | INLIQ CHD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | PLE NDA | QOF CHD | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking" 2537480011 1000000 G3-3 G3...13 "IHD - Ischaemic heart disease" 2537480011 NA 32 NA NA CHD
CHD_COD "Coronary heart disease (CHD) codes" 401314000 "Acute non-ST segment elevation myocardial infarction (disorder)" 999000771000230107 "CC Core GP Contract | INLIQ CHD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | PLE NDA | QOF CHD | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking" 1780501013 600000 G3071 G307100 "Acute non-ST segment elevation myocardial infarction" 1780501013 NA 32 NA NA CHD
NA NA 170594001 NA NA NA 264493019 500000 662K0 662K000 "Angina control - good" 264493019 NA 1 y NA CHD
NA NA 401251008 NA NA NA 1780445010 500000 9Ob4 9Ob4.00 "Coronary heart disease monitoring 2nd letter" 1780445010 NA 37 y NA CHD
