cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 433144002 "Chronic kidney disease stage 3 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 304071000000115 4000000 1Z12 1Z12.00 "Chronic kidney disease stage 3" 2773184015 NA 32 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 431857002 "Chronic kidney disease stage 4 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 304091000000116 600000 1Z13 1Z13.00 "Chronic kidney disease stage 4" 2767385013 NA 32 NA NA "CKD stage 3 to 5"
CKD1AND2_COD "Chronic kidney disease (CKD) stage 1-2 codes" 431856006 "Chronic kidney disease stage 2 (disorder)" 999004051000230107 "NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 304051000000112 300000 1Z11 1Z11.00 "Chronic kidney disease stage 2" 2767384012 NA 32 NA NA "CKD stage 1 and 2"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 433146000 "Chronic kidney disease stage 5 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 304111000000114 200000 1Z14 1Z14.00 "Chronic kidney disease stage 5" 2767154014 NA 32 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 700378005 "Chronic kidney disease stage 3A (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 557811000000119 200000 1Z15 1Z15.00 "Chronic kidney disease stage 3A" 2990386017 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324281000000104 "Chronic kidney disease stage 3 without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 595871000000110 100000 1Z1C 1Z1C.00 "Chronic kidney disease stage 3 without proteinuria" 595871000000110 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324341000000100 "Chronic kidney disease stage 3A without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 595991000000115 100000 1Z1E 1Z1E.00 "Chronic kidney disease stage 3A without proteinuria" 595991000000115 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 700379002 "Chronic kidney disease stage 3B (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 557831000000110 80000 1Z16 1Z16.00 "Chronic kidney disease stage 3B" 2990361014 NA 27 NA NA "CKD stage 3 to 5"
CKD1AND2_COD "Chronic kidney disease (CKD) stage 1-2 codes" 431855005 "Chronic kidney disease stage 1 (disorder)" 999004051000230107 "NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 304031000000117 60000 1Z10 1Z10.00 "Chronic kidney disease stage 1" 2767383018 NA 32 NA NA "CKD stage 1 and 2"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 949881000000106 "Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 1940621000006111 50000 1Z1T 1Z1T.00 "CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1" 2427381000000110 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324411000000105 "Chronic kidney disease stage 3B without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 596131000000114 40000 1Z1G 1Z1G.00 "Chronic kidney disease stage 3B without proteinuria" 596131000000114 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324281000000104 "Chronic kidney disease stage 3 without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 618441000000117 30000 1Z1C-1 1Z1C.11 "CKD stage 3 without proteinuria" 618441000000117 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324251000000105 "Chronic kidney disease stage 3 with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 595811000000117 30000 1Z1B 1Z1B.00 "Chronic kidney disease stage 3 with proteinuria" 595811000000117 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324341000000100 "Chronic kidney disease stage 3A without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 618461000000116 30000 1Z1E-1 1Z1E.11 "CKD stage 3A without proteinuria" 618461000000116 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324371000000106 "Chronic kidney disease stage 3B with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 596051000000115 20000 1Z1F 1Z1F.00 "Chronic kidney disease stage 3B with proteinuria" 596051000000115 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324471000000100 "Chronic kidney disease stage 4 without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 596261000000111 20000 1Z1J 1Z1J.00 "Chronic kidney disease stage 4 without proteinuria" 596261000000111 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 433144002 "Chronic kidney disease stage 3 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 2773184015 20000 K053 K053.00 "Chronic kidney disease stage 3" 2773184015 NA 32 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 949901000000109 "Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 1940631000006114 20000 1Z1V 1Z1V.00 "CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2" 2427401000000110 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 950061000000103 "Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 1940651000006119 20000 1Z1X 1Z1X.00 "CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1" 2427751000000117 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324311000000101 "Chronic kidney disease stage 3A with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 595931000000116 20000 1Z1D 1Z1D.00 "Chronic kidney disease stage 3A with proteinuria" 595931000000116 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324411000000105 "Chronic kidney disease stage 3B without proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 618481000000113 20000 1Z1G-1 1Z1G.11 "CKD stage 3B without proteinuria" 618481000000113 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324441000000106 "Chronic kidney disease stage 4 with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 596191000000110 20000 1Z1H 1Z1H.00 "Chronic kidney disease stage 4 with proteinuria" 596191000000110 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 950081000000107 "Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2 (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 1940661000006117 10000 1Z1Y 1Z1Y.00 "CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2" 2427801000000112 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324251000000105 "Chronic kidney disease stage 3 with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 618431000000114 10000 1Z1B-1 1Z1B.11 "CKD stage 3 with proteinuria" 618431000000114 NA 27 NA NA "CKD stage 3 to 5"
CKD_COD "Chronic kidney disease (CKD) stage 3-5 codes" 324441000000106 "Chronic kidney disease stage 4 with proteinuria (disorder)" 999004011000230108 "NCD Personalised Care | NCD Tackling Health Inequalities | NCD Vaccination &amp; Immunisation | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF CKD | QOF Diabetes | QOF Mental health | QOF Smoking" 618491000000110 10000 1Z1H-1 1Z1H.11 "CKD stage 4 with proteinuria" 618491000000110 NA 27 NA NA "CKD stage 3 to 5"
