cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
HYP_COD "Hypertension diagnosis codes" 59621000 "Essential hypertension (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 99042012 40000000 G20 G20..00 "Essential hypertension" 99042012 NA 32 NA NA Hypertension
HYP_COD "Hypertension diagnosis codes" 38341003 "Hypertensive disorder, systemic arterial (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 64168014 10000000 G2 G2...00 "Hypertensive disease" 64168014 NA 32 NA NA Hypertension
additional NA 275944005 NA NA NA 790091000006115 7000000 662P 662P.00 "Hypertension monitoring" 411919011 NA 1 y NA Hypertension
additional NA 401118009 NA NA NA 1780319017 6000000 662d 662d.00 "Hypertension annual review" 1780319017 NA 1 y NA Hypertension
additional NA 185719002 NA NA NA 790011000006113 4000000 9OI4 9OI4.00 "Hypertension monitoring first letter" 285718013 NA 37 y NA Hypertension
additional NA 275944005 NA NA NA 411919011 3000000 662-2 662..12 "Hypertension monitoring" 411919011 NA 1 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 59621000 "Essential hypertension (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 395751018 1000000 G20z G20z.00 "Essential hypertension NOS" 99042012 NA 32 NA NA Hypertension
HYP_COD "Hypertension diagnosis codes" 38341003 "Hypertensive disorder, systemic arterial (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 790121000006116 1000000 G20z-1 G20z.11 Hypertension 64176011 NA 32 NA NA Hypertension
additional NA 401048005 NA NA NA 1780253016 1000000 662c 662c.00 "Hypertension six month review" 1780253016 NA 1 y NA Hypertension
additional NA 185720008 NA NA NA 789961000006118 1000000 9OI5 9OI5.00 "Hypertension monitoring second letter" 285719017 NA 37 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 38341003 "Hypertensive disorder, systemic arterial (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 299687010 900000 G2z G2z..00 "Hypertensive disorder" 1215744012 NA 32 NA NA Hypertension
additional NA 407567007 NA NA NA 2159168015 800000 8BL0 8BL0.00 "Patient on maximal tolerated antihypertensive therapy" 2159168015 NA 32 y NA Hypertension
additional NA 270440008 NA NA NA 790071000006116 800000 9OIA 9OIA.00 "Hypertension monitoring check done" 405052015 NA 37 y NA Hypertension
additional NA 185723005 NA NA NA 789991000006114 500000 9OI8 9OI8.00 "Hypertension monitoring telephone invite" 285722015 NA 37 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 1201005 "Benign essential hypertension (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 3135013 400000 G201 G201.00 "Benign essential hypertension" 3135013 NA 32 NA NA Hypertension
additional NA 185721007 NA NA NA 789971000006113 400000 9OI6 9OI6.00 "Hypertension monitoring third letter" 285720011 NA 37 y NA Hypertension
additional NA 1066951000000101 NA NA NA 8439991000006115 400000 ^ESCTHY843999 NA "Hypertension monitoring SMS (short message service) text message first invitation" 2679921000000119 NA 37 y NA Hypertension
additional NA 170577003 NA NA NA 264471012 300000 6627 6627 "Good hypertension control" 264471012 NA 1 y NA Hypertension
additional NA 713641000000103 NA NA NA 21601000000111 300000 9OI 9OI..00 "Hypertension monitoring administration" 1564881000000111 NA 37 y NA Hypertension
additional NA 302192008 NA NA NA 443764015 200000 662O 662O.00 "On treatment for hypertension" 443764015 NA 1 y NA Hypertension
additional NA 185716009 NA NA NA 498791000006113 200000 9OI1 9OI1.00 "Attends hypertension monitoring" 285715011 NA 37 y NA Hypertension
additional NA 310427004 NA NA NA 5999791000006119 200000 ^ESCTHY599979 NA "Hypertension monitoring invitation" 454000016 NA 37 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 38341003 "Hypertensive disorder, systemic arterial (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 523801000006119 100000 G2-1 G2...11 "BP - hypertensive disease" 64168014 NA 32 NA NA Hypertension
additional NA 170578008 NA NA NA 264472017 100000 6628 6628 "Poor hypertension control" 264472017 NA 1 y NA Hypertension
additional NA 170587004 NA NA NA 264486018 100000 662G 662G.00 "Hypertensive treatment changed" 2871342011 NA 1 y NA Hypertension
additional NA 308116003 NA NA NA 451424017 100000 8B26 8B26.00 "Antihypertensive therapy" 451424017 NA 32 y NA Hypertension
additional NA 390925005 NA NA NA 1484957010 100000 9N4L 9N4L.00 "DNA - Did not attend hypertension clinic" 1484957010 NA 37 y NA Hypertension
additional NA 185722000 NA NA NA 790001000006110 100000 9OI7 9OI7.00 "Hypertension monitoring verbal invite" 285721010 NA 37 y NA Hypertension
additional NA 473225006 NA NA NA 940001000006110 100000 EMISNQHY2 NA "Hypertension medication review" 2956303010 NA 32 y NA Hypertension
additional NA 1066961000000103 NA NA NA 8440001000006117 100000 ^ESCTHY844000 NA "Hypertension monitoring SMS (short message service) text message second invitation" 2679951000000112 NA 37 y NA Hypertension
additional NA 270440008 NA NA NA 405053013 90000 9OIA-1 9OIA.11 "Hypertension monitored" 405053013 NA 37 y NA Hypertension
additional NA 1066941000000104 NA NA NA 8439981000006118 90000 ^ESCTHY843998 NA "Hypertension monitoring invitation SMS (short message service) text message" 2679901000000111 NA 37 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 56218007 "Systolic hypertension (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 93494011 80000 G202 G202.00 "Systolic hypertension" 93494011 NA 32 NA NA Hypertension
HYPRES_COD "Hypertension resolved codes" 162659009 "Hypertension resolved (finding)" 999006531000230101 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 790131000006118 80000 21261 2126100 "Hypertension resolved" 253532015 NA 27 NA NA "Hypertension resolved"
additional NA 736286003 NA NA NA 2474335018 70000 8CR4 8CR4.00 "Hypertension clinical management plan" 3517026016 NA 32 y NA Hypertension
additional NA 856971000006108 NA NA NA 856971000006112 70000 EGTONHY3 NA "Hypertensive clinic" 856971000006112 NA 37 y NA Hypertension
additional NA 713641000000103 NA NA NA 16051000000119 60000 9OIZ 9OIZ.00 "Hypertens.monitoring admin.NOS" 1564881000000111 NA 37 y NA Hypertension
HYP_COD "Hypertension diagnosis codes" 846371000000103 "Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)" 999006611000230105 "CC Core GP Contract | INLIQ Hypertension | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Hypertension | QOF Smoking" 1846991000006111 50000 G28 G28..00 "Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)" 2194941000000119 NA 32 NA NA Hypertension
additional NA 170586008 NA NA NA 264485019 50000 662F 662F.00 "Treatment for hypertension started" 2694699015 NA 1 y NA Hypertension
additional NA 812021000000106 NA NA NA 2117971000000119 50000 661M6 661M600 "Hypertension self-management plan agreed" 2117971000000119 NA 1 y NA Hypertension
