prod_code_id dmdid term_from_emis product_name formulation route_of_administration drug_substance_name substance_strength bnf_chapter drug_issues
1337541000033111 320000009 "Simvastatin 40mg tablets" "Simvastatin 40mg tablets" Tablet Oral Simvastatin 40.000mg 2120000 100000000
92041000033111 39733011000001106 "Atorvastatin 20mg tablets" "Atorvastatin 20mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 20.000mg 2120000 60000000
1336941000033119 319997009 "Simvastatin 20mg tablets" "Simvastatin 20mg tablets" Tablet Oral Simvastatin 20.000mg 2120000 60000000
92141000033110 39733111000001107 "Atorvastatin 40mg tablets" "Atorvastatin 40mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 40.000mg 2120000 50000000
91941000033117 39695411000001103 "Atorvastatin 10mg tablets" "Atorvastatin 10mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 10.000mg 2120000 30000000
1336841000033110 319996000 "Simvastatin 10mg tablets" "Simvastatin 10mg tablets" Tablet Oral Simvastatin 10.000mg 2120000 20000000
2261041000033114 39733211000001101 "Atorvastatin 80mg tablets" "Atorvastatin 80mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 80.000mg 2120000 20000000
1136541000033116 320014009 "Pravastatin 40mg tablets" "Pravastatin 40mg tablets" Tablet Oral "Pravastatin sodium" 40.000mg 2120000 8000000
2891541000033111 408036003 "Rosuvastatin 10mg tablets" NA NA NA NA NA 2120000 6000000
1130241000033116 320013003 "Pravastatin 20mg tablets" "Pravastatin 20mg tablets" Tablet Oral "Pravastatin sodium" 20.000mg 2120000 5000000
1130141000033111 320012008 "Pravastatin 10mg tablets" "Pravastatin 10mg tablets" Tablet Oral "Pravastatin sodium" 10.000mg 2120000 4000000
2891641000033112 408037007 "Rosuvastatin 20mg tablets" NA NA NA NA NA 2120000 3000000
3836041000033114 409108001 "Rosuvastatin 5mg tablets" "Rosuvastatin 5mg tablets" Tablet Oral "Rosuvastatin calcium" 5.000mg 2120000 3000000
2066241000033118 320006003 "Simvastatin 80mg tablets" NA NA NA NA NA 2120000 2000000
2974141000033115 4896711000001108 "Simvador 40mg tablets (Dexcel-Pharma Ltd)" "Simvador 40mg tablets" Tablet Oral Simvastatin 40.000mg NA 1000000
578741000033117 39693111000001107 "Fluvastatin 40mg capsules" "Fluvastatin 40mg capsules" Capsule Oral "Fluvastatin sodium" 40.000mg 2120000 900000
578641000033114 39693011000001106 "Fluvastatin 20mg capsules" "Fluvastatin 20mg capsules" Capsule Oral "Fluvastatin sodium" 20.000mg 2120000 800000
2974041000033119 4896511000001103 "Simvador 20mg tablets (Dexcel-Pharma Ltd)" "Simvador 20mg tablets" Tablet Oral Simvastatin 20.000mg NA 700000
2891741000033115 408024009 "Rosuvastatin 40mg tablets" NA NA NA NA NA 2120000 600000
233741000033115 320035006 "Cerivastatin 100microgram tablets" "Cerivastatin 100microgram tablets" Tablet Oral "Cerivastatin sodium" 100.000microgram 2120000 300000
836241000033113 643911000001108 "Lipitor 10mg tablets (Viatris UK Healthcare Ltd)" "Lipitor 10mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 10.000mg NA 300000
1562841000033119 108111000001106 "Zocor 10mg tablets (Organon Pharma (UK) Ltd)" "Zocor 10mg tablets" Tablet Oral Simvastatin 10.000mg NA 300000
2189041000033110 36566411000001105 "Fluvastatin 80mg modified-release tablets" "Fluvastatin 80mg modified-release tablets" "Modified-release tablet" Oral "Fluvastatin sodium" 80.000mg 2120000 300000
836341000033115 232011000001102 "Lipitor 20mg tablets (Viatris UK Healthcare Ltd)" "Lipitor 20mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 20.000mg NA 200000
1562941000033110 776811000001104 "Zocor 20mg tablets (Organon Pharma (UK) Ltd)" "Zocor 20mg tablets" Tablet Oral Simvastatin 20.000mg NA 200000
3292541000033115 414178007 "Simvastatin 40mg / Ezetimibe 10mg tablets" "Simvastatin 40mg / Ezetimibe 10mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 40.000mg" 2120000 200000
