cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
BMI30_COD "Body mass index (BMI) codes >= 30 without an associated BMI value" 162864005 "Body mass index 30+ - obesity (finding)" 999011051000230106 "INLIQ Obesity | NCD Personalised Care | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Obesity" 253848011 2000000 22K5 22K5.00 "Body mass index 30+ - obesity" 253848011 NA 2 NA NA Obese
BMIHEALTHY_COD "Body mass index (BMI) healthy codes" 35425004 "Normal body mass index (finding)" 999016011000230101 "NCD Tackling Health Inequalities | Other LDD | PLE GDPPR | QOF Mental health" 253844013 2000000 22K1 22K1.00 "Normal body mass index" 59104012 NA 2 NA NA "Not obese"
additional NA 414916001 NA NA NA 2535065012 2000000 C380 C380.00 Obesity 2535065012 NA 32 obese NA Obese
BMIOVER_COD "Body mass index (BMI) overweight codes" 162863004 "Body mass index 25-29 - overweight (finding)" 999016091000230107 "NCD Tackling Health Inequalities | Other LDD | PLE GDPPR | QOF Mental health" 253847018 1000000 22K4 22K4.00 "Body mass index index 25-29 - overweight" 253847018 NA 2 NA NA "Not obese"
additional NA 268522006 NA NA NA 401534016 600000 66C 66C..00 "Obesity monitoring" 401534016 NA 1 obese NA Obese
BMI30_COD "Body mass index (BMI) codes >= 30 without an associated BMI value" 408512008 "Body mass index 40+ - severely obese (finding)" 999011051000230106 "INLIQ Obesity | NCD Personalised Care | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Obesity" 2160062010 300000 22K7 22K7.00 "Body mass index 40+ - severely obese" 2160062010 NA 2 NA NA Obese
BMIHEALTHY_COD "Body mass index (BMI) healthy codes" 412768003 "Body mass index 20-24 - normal (finding)" 999016011000230101 "NCD Tackling Health Inequalities | Other LDD | PLE GDPPR | QOF Mental health" 2474325012 300000 22K8 22K8.00 "Body mass index 20-24 - normal" 2474325012 NA 2 NA NA "Not obese"
BMIUNDER_COD "Body mass index (BMI) underweight codes" 310252000 "Body mass index less than 20 (finding)" 999016131000230105 "NCD Tackling Health Inequalities | Other LDD | PLE GDPPR | QOF Mental health" 453856012 300000 22K6 22K6.00 "Body mass index less than 20" 453856012 NA 2 NA NA "Not obese"
additional NA 185741002 NA NA NA 285741017 200000 9OK1 9OK1.00 "Attends obesity monitoring" 285741017 NA 37 obese NA Obese
additional NA 238136002 NA NA NA 356968010 200000 C3803 C380300 "Morbid obesity" 356968010 NA 32 obese NA Obese
