cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 63491006 "Intermittent claudication (finding)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 105536013 600000 G73z0 G73z000 "Intermittent claudication" 105536013 NA 32 NA NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 400047006 "Peripheral vascular disease (disorder)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 235911000006116 600000 G73z G73z.00 "Peripheral vascular disease" 1779317016 NA 32 NA NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 400047006 "Peripheral vascular disease (disorder)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 300515011 100000 G73zz G73zz00 "Peripheral vascular disease NOS" 1779317016 NA 32 NA NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 400047006 "Peripheral vascular disease (disorder)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 395791015 90000 G73 G73..00 "Other peripheral vascular disease" 1779317016 NA 32 NA NA PAD
additional NA 134379001 NA NA NA 216185010 90000 662U 662U.00 "Peripheral vascular disease monitoring" 216185010 NA 1 y NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 63491006 "Intermittent claudication (finding)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 411512011 70000 G73z0-1 G73z011 Claudication 3559347018 NA 32 NA NA PAD
additional NA 376621000000109 NA NA NA 741131000000114 60000 9m10 9m10.00 "Peripheral vascular disease monitoring first letter" 741131000000114 NA 37 y NA PAD
additional NA 1696201000006105 NA NA NA 1696201000006114 50000 EMISNQPE9 NA "Peripheral vascular disease annual review" 1696201000006114 NA 1 y NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 233961000 "Lower limb ischemia (disorder)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 742481000006118 30000 G73-2 G73..12 "Ischaemic leg" 350546015 NA 32 NA NA PAD
PAD_COD "Peripheral arterial disease (PAD) diagnostic codes" 301755001 "Ischemic foot (disorder)" 999005931000230101 "INLIQ PAD | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | PLE C19SPL | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF PAD | QOF Smoking" 443199013 20000 G733 G733.00 "Ischaemic foot" 443199013 NA 32 NA NA PAD
