cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
RARTH_COD "Rheumatoid arthritis diagnosis codes" 69896004 "Rheumatoid arthritis (disorder)" 999005851000230103 "INLIQ Rheumatoid arthritis | NCD Personalised Care | PLE GDPPR | QOF Rheumatoid arthritis" 116082011 3000000 N040 N040.00 "Rheumatoid arthritis" 116082011 NA 32 NA NA "Rheumatoid arthritis"
additional NA 847261000000104 NA NA NA 2196791000000119 1000000 66HB0 66HB000 "Rheumatoid arthritis annual review" 2196791000000119 NA 1 y NA "Rheumatoid arthritis"
RARTH_COD "Rheumatoid arthritis diagnosis codes" 239792003 "Seronegative rheumatoid arthritis (disorder)" 999005851000230103 "INLIQ Rheumatoid arthritis | NCD Personalised Care | PLE GDPPR | QOF Rheumatoid arthritis" 359292012 200000 N040P N040P00 "Seronegative rheumatoid arthritis" 359292012 NA 32 NA NA "Rheumatoid arthritis"
RARTH_COD "Rheumatoid arthritis diagnosis codes" 239791005 "Seropositive rheumatoid arthritis (disorder)" 999005851000230103 "INLIQ Rheumatoid arthritis | NCD Personalised Care | PLE GDPPR | QOF Rheumatoid arthritis" 149911000006117 100000 N04X N04X.00 "Seropositive rheumatoid arthritis" 359291017 NA 32 NA NA "Rheumatoid arthritis"
additional NA 882401000000106 NA NA NA 2275671000000111 100000 9mM0 9mM0.00 "Rheumatoid arthritis monitoring invitation first letter" 2275671000000111 NA 37 y NA "Rheumatoid arthritis"
additional NA 275902004 NA NA NA 219021000000114 70000 66H-3 66H..13 "Rheumatoid arthritis monitoring" 411871019 NA 1 y NA "Rheumatoid arthritis"
additional NA 882421000000102 NA NA NA 2275711000000112 60000 9mM1 9mM1.00 "Rheumatoid arthritis monitoring invitation second letter" 2275711000000112 NA 37 y NA "Rheumatoid arthritis"
additional NA 161567008 NA NA NA 251794010 50000 14G1 14G1.00 "H/O: rheumatoid arthritis" 251794010 NA 32 y NA "Rheumatoid arthritis"
RARTH_COD "Rheumatoid arthritis diagnosis codes" 287006005 "Rheumatoid arthritis of multiple joints (disorder)" 999005851000230103 "INLIQ Rheumatoid arthritis | NCD Personalised Care | PLE GDPPR | QOF Rheumatoid arthritis" 426510015 40000 N040S N040S00 "Rheumatoid arthritis - multiple joint" 426510015 NA 32 NA NA "Rheumatoid arthritis"
RARTH_COD "Rheumatoid arthritis diagnosis codes" 69896004 "Rheumatoid arthritis (disorder)" 999005851000230103 "INLIQ Rheumatoid arthritis | NCD Personalised Care | PLE GDPPR | QOF Rheumatoid arthritis" 168751000006115 30000 N04 N04..00 "Rheumatoid arthritis and other inflammatory polyarthropathy" 116082011 NA 32 NA NA "Rheumatoid arthritis"
additional NA 410795001 NA NA NA 755441000006119 30000 N043 N043.00 "Juvenile rheumatoid arthritis - Still's disease" 2472447010 NA 32 y NA "Rheumatoid arthritis"
