cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
SMOK_COD "Smoking habit codes" 266919005 "Never smoked tobacco (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 397732011 90000000 1371 1371.00 "Never smoked tobacco" 397732011 NA 17 NA NA "Smoking status"
additional NA 225323000 NA NA NA 338608011 50000000 8CAL 8CAL.00 "Smoking cessation advice" 338608011 NA 17 intervention NA "Current smoker"
SMOK_COD "Smoking habit codes" 8517006 "Ex-smoker (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 649841000006110 40000000 137S 137S.00 Ex-smoker 15047015 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 65568007 "Cigarette smoker (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 108938018 20000000 137P 137P.00 "Cigarette smoker" 108938018 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 77176002 "Smoker (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 503483019 20000000 137R 137R.00 "Current smoker" 503483019 NA 17 NA NA "Smoking status"
LSMOK_COD "Smoker codes" 65568007 "Cigarette smoker (finding)" 999004211000230104 "INLIQ Smoking | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Smoking" 108938018 20000000 137P 137P.00 "Cigarette smoker" 108938018 NA 17 NA NA "Current smoker"
LSMOK_COD "Smoker codes" 77176002 "Smoker (finding)" 999004211000230104 "INLIQ Smoking | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Smoking" 503483019 20000000 137R 137R.00 "Current smoker" 503483019 NA 17 NA NA "Current smoker"
additional NA 225323000 NA NA NA 818061000006111 20000000 6791 6791 "Smoking cessation education" 2575784012 NA 17 intervention NA "Current smoker"
SMOK_COD "Smoking habit codes" 160617001 "Stopped smoking (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 250373019 5000000 137K 137K.00 "Stopped smoking" 250373019 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 160603005 "Light cigarette smoker (1-9 cigs/day) (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 743331000006116 3000000 1373 1373.00 "Light cigarette smoker (1-9 cigs/day)" 250358015 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 160604004 "Moderate cigarette smoker (10-19 cigs/day) (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 700121000006118 3000000 1374 1374.00 "Moderate cigarette smoker (10-19 cigs/day)" 250359011 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 266923002 "Ex-moderate cigarette smoker (10-19/day) (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 250365011 3000000 1379 1379.00 "Ex-moderate cigarette smoker (10-19/day)" 397738010 NA 17 NA NA "Smoking status"
LSMOK_COD "Smoker codes" 160604004 "Moderate cigarette smoker (10-19 cigs/day) (finding)" 999004211000230104 "INLIQ Smoking | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Smoking" 700121000006118 3000000 1374 1374.00 "Moderate cigarette smoker (10-19 cigs/day)" 250359011 NA 17 NA NA "Current smoker"
LSMOK_COD "Smoker codes" 160603005 "Light cigarette smoker (1-9 cigs/day) (finding)" 999004211000230104 "INLIQ Smoking | NCD Tackling Health Inequalities | PLE GDPPR | QOF Mental health | QOF Smoking" 743331000006116 3000000 1373 1373.00 "Light cigarette smoker (1-9 cigs/day)" 250358015 NA 17 NA NA "Current smoker"
SMOK_COD "Smoking habit codes" 160616005 "Trying to give up smoking (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 250372012 2000000 137G 137G.00 "Trying to give up smoking" 250372012 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 160625004 "Date ceased smoking (observable entity)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 250385010 2000000 137T 137T.00 "Date ceased smoking" 250385010 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 266918002 "Tobacco smoking consumption (observable entity)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 102921000006112 2000000 137 137..00 "Tobacco smoking consumption" 397730015 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 266922007 "Ex-light cigarette smoker (1-9/day) (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 250364010 2000000 1378 1378.00 "Ex-light cigarette smoker (1-9/day)" 397737017 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 281018007 "Ex-cigarette smoker (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 418914010 2000000 137j 137j.00 "Ex-cigarette smoker" 418914010 NA 17 NA NA "Smoking status"
SMOK_COD "Smoking habit codes" 77176002 "Smoker (finding)" 999005651000230102 "INLIQ Smoking | NCD Cardiovascular Disease Prevention | NCD Tackling Health Inequalities | PLE GDPPR | PLE PHSMI | QOF Asthma | QOF Mental health | QOF Smoking" 128130017 2000000 137P-1 137P.11 Smoker 128130017 NA 17 NA NA "Smoking status"
