cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
STRK_COD "Stroke diagnosis codes" 230690007 "Cerebrovascular accident (disorder)" 999005531000230105 "CC Core GP Contract | INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 405339016 1000000 G66 G66..00 "Cerebrovascular accident" 345637012 NA 32 NA NA Stroke
NA NA 857471000006102 NA NA NA 857471000006118 800000 EMISNO5 NA "No H/O: CVA/stroke" 857471000006118 NA 32 general NA Stroke
NA NA 170600009 NA NA NA 264499015 600000 662M 662M.00 "Stroke monitoring" 264499015 NA 1 general "General stroke, unclear if haemorrhagic or non" Stroke
STRK_COD "Stroke diagnosis codes" 230690007 "Cerebrovascular accident (disorder)" 999005531000230105 "CC Core GP Contract | INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 605501000006117 500000 G66-1 G66..11 "CVA unspecified" 345637012 NA 32 NA NA Stroke
NA NA 699270006 NA NA NA 1780304018 500000 662e 662e.00 "CVA annual review" 2983515011 NA 1 general NA Stroke
NA NA 415628004 NA NA NA 2534253014 500000 9Om0 9Om0.00 "Stroke/transient ischaemic attack monitoring first letter" 2534253014 NA 37 general NA Stroke
NA NA 201501000000108 NA NA NA 306621000000116 300000 9N0p 9N0p.00 "Seen in stroke clinic" 306621000000116 NA 37 general NA Stroke
STRK_COD "Stroke diagnosis codes" 230690007 "Cerebrovascular accident (disorder)" 999005531000230105 "CC Core GP Contract | INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 605491000006113 200000 G66-3 G66..13 "CVA - Cerebrovascular accident" 345635016 NA 32 NA NA Stroke
STRK_COD "Stroke diagnosis codes" 230691006 "Cerebrovascular accident due to occlusion of cerebral artery (disorder)" 999005531000230105 "CC Core GP Contract | INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 605461000006117 200000 G64-1 G64..11 "CVA - cerebrovascular accident due to cerebral artery occlusion" 345638019 NA 32 NA NA Stroke
STRK_COD "Stroke diagnosis codes" 432504007 "Cerebral infarction (disorder)" 999005531000230105 "CC Core GP Contract | INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 395780010 200000 G64z G64z.00 "Cerebral infarction" 2770034014 NA 32 NA NA Stroke
