cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
TIA_COD "Transient ischaemic attack (TIA) codes" 266257000 "Transient ischemic attack (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 395783012 1000000 G65-2 G65..12 "Transient ischaemic attack" 395783012 NA 32 NA NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 266257000 "Transient ischemic attack (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 395788015 800000 G65 G65..00 "Transient cerebral ischaemia" 395788015 NA 32 NA NA TIA
NA NA 415628004 NA NA NA 2534253014 500000 9Om0 9Om0.00 "Stroke/transient ischaemic attack monitoring first letter" 2534253014 NA 37 y NA TIA
NA NA 415629007 NA NA NA 2534212018 200000 9Om1 9Om1.00 "Stroke/transient ischaemic attack monitoring second letter" 2534212018 NA 37 y NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 161511000 "History of transient ischemic attack (situation)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 251692018 90000 14AB 14AB.00 "H/O: TIA" 251692018 NA 32 NA NA TIA
NA NA 415631003 NA NA NA 2534196010 50000 9Om2 9Om2.00 "Stroke/transient ischaemic attack monitoring third letter" 2534196010 NA 37 y NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 64009001 "Basilar artery syndrome (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 67511000006117 20000 G65-3 G65..13 "Vertebro-basilar insufficiency" 106394016 NA 32 NA NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 266257000 "Transient ischemic attack (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 95931000006111 20000 G65z G65z.00 "Transient cerebral ischaemia NOS" 395788015 NA 32 NA NA TIA
NA NA 713771000000100 NA NA NA 236331000000111 20000 9Om 9Om..00 "Stroke/transient ischaemic attack monitoring administration" 1565011000000111 NA 37 y NA TIA
NA NA 717241000000108 NA NA NA 1562581000006114 20000 9Om4 9Om4.00 "Stroke/transient ischaemic attack monitoring telephone invitation" 1569781000000115 NA 37 y NA TIA
NA NA 417540008 NA NA NA 6908391000006111 10000 ^ESCTST690839 NA "Stroke/transient ischaemic attack monitoring invitation" 2548591019 NA 37 y NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 64009001 "Basilar artery syndrome (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 106394016 8000 G656 G656.00 "Vertebrobasilar insufficiency" 106394016 NA 32 NA NA TIA
TIA_COD "Transient ischaemic attack (TIA) codes" 266257000 "Transient ischemic attack (disorder)" 999005291000230109 "INLIQ Stroke | NCD Cardiovascular Disease Prevention | NCD Personalised Care | NCD Tackling Health Inequalities | Other LDD | PLE CVDPREVENT | PLE GDPPR | PLE Lipid management | QOF Cholesterol | QOF Diabetes | QOF Mental health | QOF Smoking | QOF Stroke" 300349016 8000 G65zz G65zz00 "Transient cerebral ischaemia NOS" 395788015 NA 32 NA NA TIA
NA NA 417059002 NA NA NA 986831000006115 7000 9Om3 9Om3.00 "Stroke/transient ischaemic attack monitoring verbal invitation" 2549607012 NA 37 y NA TIA
